property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
1775CCF6-E801-38BA-E063-4704A8C05A7C,SL6 2BG,DORMTIKI,OLD MILL LANE,D,2024-01-02,1425000,,,,
1C3E72FD-D5AA-F410-E063-4804A8C0DFA6,SL6 2QT,8,WALKER ROAD,D,2024-01-03,860000,,,,
1061746E-BBF6-3C34-E063-4804A8C0F9E7,SL6 0PL,"CHILTON COURT, 574",BATH ROAD,F,2024-01-03,160000,,,,
1775CCF6-E645-38BA-E063-4704A8C05A7C,SL6 4RP,10,SUTTON CLOSE,S,2024-01-03,300000,,,,
1061746D-A9ED-3C34-E063-4804A8C0F9E7,SL6 2DG,44,TITHE BARN DRIVE,S,2024-01-04,599950,,,,
1061746D-AB92-3C34-E063-4804A8C0F9E7,SL6 8PH,WOODHURST NORTH,RAY MEAD ROAD,F,2024-01-04,410000,,,,
1775CCF6-E4EC-38BA-E063-4704A8C05A7C,SL6 8XF,1,DEERSWOOD,D,2024-01-04,985000,,,,
12A8BAB5-E530-2125-E063-4804A8C08CC1,SL6 6AR,19,COLLEGE AVENUE,D,2024-01-05,1275000,,,,
1775CCF6-E58C-38BA-E063-4704A8C05A7C,SL6 8HP,66,SHEEPHOUSE ROAD,D,2024-01-05,1300000,,,,
1775CCF6-E496-38BA-E063-4704A8C05A7C,SL6 6EG,103,POWNEY ROAD,T,2024-01-05,474000,,,,
1061746D-AA01-3C34-E063-4804A8C0F9E7,SL6 6NY,FURZE DALE COTTAGE,BIX LANE,S,2024-01-05,708000,,,,
1775CCF6-E530-38BA-E063-4704A8C05A7C,SL6 9HF,10,LOWER ROAD,S,2024-01-05,575000,,,,
1775CCF6-EA08-38BA-E063-4704A8C05A7C,SL6 0DU,32,HARCOURT ROAD,S,2024-01-05,438000,,,,
1775CCF6-E80B-38BA-E063-4704A8C05A7C,SL6 3JS,OLD SCHOOL HOUSE,,S,2024-01-05,925000,,,,
1061746D-AAFA-3C34-E063-4804A8C0F9E7,SL6 6DY,12,ALSTON GARDENS,F,2024-01-08,290000,,,,
1061746D-ABF1-3C34-E063-4804A8C0F9E7,SL6 4FY,7,VICARAGE MEWS,T,2024-01-08,687500,,,,
1061746D-AB8E-3C34-E063-4804A8C0F9E7,SL6 8RU,WESTCOIGN HOUSE,RAY PARK AVENUE,F,2024-01-08,231000,,,,
152AB733-848D-E651-E063-4704A8C061D9,SL6 1AH,"ALDER HOUSE, 5",WALLINGFORD WAY,F,2024-01-09,365000,,,,
1C3E72FD-D58B-F410-E063-4804A8C0DFA6,SL6 8DU,7,CAMPERDOWN,T,2024-01-09,372000,,,,
1061746D-AAAD-3C34-E063-4804A8C0F9E7,SL6 8NA,127A,BRIDGE ROAD,F,2024-01-10,225000,,,,
1061746D-A9F4-3C34-E063-4804A8C0F9E7,SL6 3HS,71,TREESMILL DRIVE,S,2024-01-10,510000,,,,
1775CCF6-E61E-38BA-E063-4704A8C05A7C,SL6 8TP,WICKETS,HORTON CLOSE,D,2024-01-11,1250000,,,,
1C3E72FD-D1D4-F410-E063-4804A8C0DFA6,SL6 2ES,10,THE BINGHAMS,D,2024-01-11,845000,,,,
1C3E72FD-D254-F410-E063-4804A8C0DFA6,SL6 6HY,151,COURTHOUSE ROAD,S,2024-01-11,572000,,,,
1775CCF6-E62D-38BA-E063-4704A8C05A7C,SL6 4JU,CEDAR COURT,BATH ROAD,F,2024-01-11,260000,,,,
1775CCF6-E7FC-38BA-E063-4704A8C05A7C,SL6 6EJ,19,PENYSTON ROAD,D,2024-01-11,709500,,,,
2ACACE8C-9383-295E-E063-4804A8C0B0EB,SL6 1SG,15,TRINITY PLACE,F,2024-01-12,346000,,,,
1061746E-BB22-3C34-E063-4804A8C0F9E7,SL6 7BT,45,CORDWALLIS ROAD,T,2024-01-12,285000,,,,
1775CCF6-E691-38BA-E063-4704A8C05A7C,SL6 4JF,34,CROXLEY RISE,F,2024-01-12,245000,,,,
