certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
0985-2870-6610-9175-4315,SL6 2BG,DORMTIKI,OLD MILL LANE,312.0,,,
8768-7225-5620-5382-6922,SL6 2QT,8,WALKER ROAD,110.0,,,
0340-2205-5360-2704-1851,SL6 4RP,10,SUTTON CLOSE,96.0,,,
8627-6429-4999-0483-3926,SL6 2DG,44,TITHE BARN DRIVE,127.0,,,
1500-2674-0222-4208-3473,SL6 8XF,1,DEERSWOOD,198.0,,,
9848-3018-2204-0307-9200,SL6 9EB,28,SOUTHWOOD GARDENS,112.0,,,
0130-2232-4068-2522-2331,SL6 6AR,19,COLLEGE AVENUE,193.0,,,
0360-2356-5230-2827-3835,SL6 8HP,66,SHEEPHOUSE ROAD,244.0,,,
0160-2731-2010-2029-6871,SL6 6EG,103,POWNEY ROAD,78.0,,,
1300-7683-8022-7023-1673,SL6 9HF,10,LOWER ROAD,105.0,,,
0447-3017-7203-6372-9204,SL6 0DU,32,HARCOURT ROAD,75.0,,,
2162-1010-0288-5392-4200,SL6 3JS,OLD SCHOOL HOUSE,,163.0,,,
0380-2675-8230-2207-0881,SL6 6DY,12,ALSTON GARDENS,59.0,,,
8344-7933-2960-6152-2906,SL6 4FY,7,VICARAGE MEWS,142.0,,,
0320-2025-7230-2827-0885,SL6 8DU,7,CAMPERDOWN,90.0,,,
9560-3050-3205-9845-4200,SL6 8NA,127A,BRIDGE ROAD,84.0,,,
8045-7022-4679-4135-5996,SL6 3HS,71,TREESMILL DRIVE,100.0,,,
2678-7091-6201-6961-8904,SL6 8TP,WICKETS,HORTON CLOSE,194.0,,,
0110-2564-2058-2627-1391,SL6 2ES,10,THE BINGHAMS,127.0,,,
0235-3028-4203-6247-3200,SL6 6HY,151,COURTHOUSE ROAD,86.0,,,
2299-1003-3283-2627-6204,SL6 6EJ,19,PENYSTON ROAD,104.0,,,
0563-3205-2175-2899-3081,SL6 1SG,15,TRINITY PLACE,70.0,,,
2862-3023-2209-7377-5200,SL6 7BT,45,CORDWALLIS ROAD,83.0,,,
8866-6726-5980-7853-4902,SL6 4JF,34,CROXLEY RISE,58.0,,,
8446-7521-4160-4740-7972,SL6 6SU,19,BALMORAL,112.0,,,
2438-4095-6287-7064-4930,SL6 4DN,57,CLARE ROAD,96.0,,,
8902-4144-0620-0706-1483,SL6 0HH,HITCHAM GLEBE,HUNTS LANE,215.0,,,
0320-2528-4070-2699-1445,SL6 7PD,3,HARROW LANE,77.0,,,
0824-1010-6288-2707-5200,SL6 9QJ,SUMNER,SCHOOL LANE,219.0,,,
2728-0092-6229-5580-2234,SL6 2GN,26,IMPERIAL PLACE,76.0,,,
9350-2702-5300-2197-7155,SL6 4PF,4,ALTWOOD ROAD,116.0,,,
0340-3546-4030-2097-8645,SL6 6FT,10,GODAYN GROVE,111.0,,,
0535-2858-7346-9005-1745,SL6 1NZ,42,ALBERT STREET,77.0,,,
0650-2833-7080-9593-7255,SL6 7EH,25,CHURCH VIEWS,62.0,,,
2388-9028-7203-7310-2204,SL6 8HX,8,ELMWOOD,199.0,,,
8700-2996-8122-8206-2803,SL6 7BR,66,CORDWALLIS ROAD,127.0,,,
4800-3124-0022-6027-1193,SL6 9TR,GIBRALTAR HOUSE,GIBRALTAR LANE,551.0,,,
9558-4077-7266-7800-5230,SL6 4AP,37,WESTBOROUGH ROAD,108.0,,,
2681-3030-6201-3467-6204,SL6 1DE,64,BRAYWICK ROAD,203.0,,,
6400-0498-0522-7207-3773,SL6 1TE,25,THE FARTHINGALES,145.0,,,
0828-1908-9200-4730-0200,SL6 7YN,17,BAILEY CLOSE,51.0,,,
0063-3931-4209-6377-9204,SL6 1BY,51,RUSHINGTON AVENUE,156.0,,,
0520-2810-7543-9894-2855,SL6 8RF,53,BLACKAMOOR LANE,114.0,,,
6519-0026-5000-0329-8202,SL6 6SW,80,BEVERLEY GARDENS,60.0,,,
0558-2851-7393-9708-7365,SL6 5AF,12,HIGHWAY AVENUE,68.0,,,
2259-2037-6120-3595-0292,SL6 1SG,19,TRINITY PLACE,70.0,,,
0330-2047-4230-2597-8841,SL6 6HY,125,COURTHOUSE ROAD,135.0,,,
8800-2005-0322-3276-3873,SL6 9DJ,1,BASS MEAD,78.0,,,
0100-2902-2028-2627-7385,SL6 4RS,15,LINGHOLM CLOSE,105.0,,,
4639-9122-5109-0586-2296,SL6 0QA,30,HILLMEAD COURT,50.0,,,
0146-2851-7735-9191-8531,SL6 8SF,45,RAY MILL ROAD WEST,57.0,,,
0360-2610-1280-2397-4911,SL6 0DS,32,MEADOW WAY,49.0,,,
8416-7429-1220-4954-6906,SL6 3PR,5,BARN DRIVE,102.0,,,
5900-3896-0122-2276-3873,SL6 1SU,37,FOTHERBY COURT,63.0,,,
9350-2737-7100-2399-1031,SL6 0DA,REDWOOD,BERRY HILL,156.0,,,
0830-3029-3208-2587-1200,SL6 5DF,21,HIGHFIELD ROAD,95.0,,,
2150-2630-5070-8093-0821,SL6 7UP,19,FAWLEY CLOSE,84.0,,,
0380-2159-9280-2527-4965,SL6 2SE,16,HARE SHOOTS,78.0,,,
8019-9077-5002-0395-8506,SL6 3XQ,78,LILLIBROOKE CRESCENT,75.0,,,
2981-3172-6503-5100-1141,SL6 9LL,34,GORSE ROAD,62.0,,,
0310-3690-8040-2427-8521,SL6 6DP,53,ST MARKS ROAD,129.0,,,
2160-3537-8070-6001-0871,SL6 4QY,44,WOOTTON WAY,59.0,,,
5700-4464-0222-3202-3673,SL6 4HY,56,RUTLAND ROAD,93.0,,,
8601-8855-6129-7097-4533,SL6 7BD,87,CORDWALLIS ROAD,91.0,,,
0828-9950-7290-2384-5980,SL6 1PH,OVERTON,EAST ROAD,275.0,,,
8794-7036-2820-2485-9902,SL6 1PG,9,FOLLY HILL GARDENS,144.0,,,
0140-2373-4138-2702-4215,SL6 9TR,BARBARY HOUSE,GIBRALTAR LANE,364.0,,,
0300-2888-7250-2897-6641,SL6 3BJ,5,PARK LODGE CLOSE,151.0,,,
2485-3030-8201-6427-6200,SL6 4RQ,20,GREAT HILL CRESCENT,185.0,,,
8158-7729-5200-5562-3992,SL6 4QJ,14,SILVERTREES DRIVE,150.0,,,
7608-7084-7283-6951-8944,SL6 5DQ,71,ST MARKS CRESCENT,177.0,,,
0753-2817-7544-9293-8351,SL6 8QF,72,RAY LEA ROAD,88.0,,,
2118-7871-1168-9138-2311,SL6 2JX,4,WILLOW DRIVE,273.0,,,
2091-3910-0200-2729-7200,SL6 4HY,20,RUTLAND ROAD,128.0,,,
8756-7626-4330-3564-0922,SL6 6LE,51,DERWENT DRIVE,97.0,,,
8938-7325-5320-4829-6972,SL6 7UR,21,BURCOT GARDENS,64.0,,,
3237-4927-5200-0330-4292,SL6 0QA,42,HILLMEAD COURT,64.0,,,
0120-2308-0148-2527-7051,SL6 4NB,ASHTONS,SANDISPLATT ROAD,279.0,,,
0794-3015-6204-1382-3204,SL6 0JT,5,RAMBLER CLOSE,81.0,,,
0130-2189-3148-2497-6075,SL6 8HT,GREENWOOD,ISLET ROAD,136.0,,,
0264-1208-4109-5938-0804,SL6 7PW,22,CULHAM DRIVE,112.0,,,
9651-3025-1207-7207-1204,SL6 8PX,42,RAY STREET,81.0,,,
0717-0023-4219-0567-0200,SL6 9JE,1,FAIR VIEW COTTAGES,60.0,,,
1909-7323-4000-1492-0222,SL6 0GA,19,CLIVEDEN GAGES,134.0,,,
9300-7576-8222-5026-1873,SL6 7QN,54,CANNON COURT ROAD,92.0,,,
2740-3025-7207-2377-3200,SL6 5BL,17,HAVELOCK CRESCENT,124.0,,,
2114-4229-1612-4170-9164,SL6 4JF,3,CROXLEY RISE,54.0,,,
0843-3029-7208-7317-1204,SL6 6SP,10,BROMPTON DRIVE,110.0,,,
2720-3040-1203-9794-1200,SL6 3RU,BEYNHURST HOUSE,INNINGS LANE,256.0,,,
5737-1426-9200-0563-7206,SL6 8EU,5,THE PAGODA,171.0,,,
2773-3029-7208-6057-7200,SL6 0PF,14,HURSTFIELD DRIVE,103.0,,,
5090-8819-0422-3302-3073,SL6 0NA,29,MAYPOLE ROAD,85.0,,,
6820-0095-0381-3090-1783,SL6 6SW,62,BEVERLEY GARDENS,84.0,,,
2743-3027-7205-3247-0204,SL6 5EH,10,ALWYN ROAD,132.0,,,
0330-2829-6280-2007-0931,SL6 6HD,1,LINDEN AVENUE,162.0,,,
9937-2899-7701-9825-4431,SL6 7JB,10,WEST DEAN,84.0,,,
0319-0125-5000-0094-8222,SL6 8QU,GREENDALE,RAY PARK ROAD,310.0,,,
0674-2810-7488-2620-9695,SL6 6BQ,5,BELMONT VALE,96.0,,,
9394-1003-0281-1927-6204,SL6 6JP,2,PARKSIDE,115.0,,,
0917-3628-6080-0264-3296,SL6 6DZ,60,PORTLOCK ROAD,69.0,,,
7199-3025-8207-6177-5204,SL6 9ES,STEPPES,LOWER ROAD,178.0,,,
8300-9663-8222-3099-1273,SL6 5BN,1,PINE CLOSE,90.0,,,
7800-3712-0222-3009-3893,SL6 6AN,20,LYNTON GREEN,92.0,,,
0053-2890-7064-9078-8495,SL6 6LE,25D,DERWENT DRIVE,83.0,,,
2918-4062-5002-0301-8606,SL6 6SS,64,CRANBROOK DRIVE,110.0,,,
0350-2756-8390-2894-7341,SL6 1LH,1,MOORLAND WAY,127.0,,,
1290-7017-0822-3309-3973,SL6 1SU,9,FOTHERBY COURT,62.0,,,
0757-1908-8209-5239-0200,SL6 8DH,24,IN THE RAY,45.0,,,
9733-3921-2200-2177-3200,SL6 3DR,28,MERCIA ROAD,91.0,,,
9157-3050-4305-6275-3204,SL6 9EB,16A,SOUTHWOOD GARDENS,99.0,,,
8300-9574-8222-3020-1373,SL6 3YR,18,CADWELL DRIVE,61.0,,,
0998-3074-7265-0487-1990,SL6 6DF,21,RAYMOND ROAD,137.0,,,
9573-5064-0203-6897-1200,SL6 3YN,4,GAINSBOROUGH DRIVE,103.0,,,
0412-3621-1080-0542-3202,SL6 3BG,65,ST CHADS ROAD,86.0,,,
0320-2429-5280-2877-2961,SL6 4LZ,6,TALBOTS DRIVE,188.0,,,
2245-3027-5205-5547-0204,SL6 3YW,15,KELSEY CLOSE,104.0,,,
