unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,paon,street,transaction_category
1775CCF6-E801-38BA-E063-4704A8C05A7C,1425000,2024-01-02,SL6 2BG,D,,F,DORMTIKI,OLD MILL LANE,A
1C3E72FD-D5AA-F410-E063-4804A8C0DFA6,860000,2024-01-03,SL6 2QT,D,,F,8,WALKER ROAD,A
1061746E-BBF6-3C34-E063-4804A8C0F9E7,160000,2024-01-03,SL6 0PL,F,,F,"CHILTON COURT, 574",BATH ROAD,B
1775CCF6-E645-38BA-E063-4704A8C05A7C,300000,2024-01-03,SL6 4RP,S,,F,10,SUTTON CLOSE,A
1061746D-A9ED-3C34-E063-4804A8C0F9E7,599950,2024-01-04,SL6 2DG,S,,F,44,TITHE BARN DRIVE,A
1061746D-AB92-3C34-E063-4804A8C0F9E7,410000,2024-01-04,SL6 8PH,F,,F,WOODHURST NORTH,RAY MEAD ROAD,A
1775CCF6-E4EC-38BA-E063-4704A8C05A7C,985000,2024-01-04,SL6 8XF,D,,F,1,DEERSWOOD,A
237B17FE-C4CF-22AC-E063-4804A8C0EA3A,575000,2024-01-04,SL6 9EB,O,,F,28,SOUTHWOOD GARDENS,B
237B17FE-C464-22AC-E063-4804A8C0EA3A,595000,2024-01-04,SL6 9EB,O,,F,28,SOUTHWOOD GARDENS,B
12A8BAB5-E530-2125-E063-4804A8C08CC1,1275000,2024-01-05,SL6 6AR,D,,F,19,COLLEGE AVENUE,A
1775CCF6-E58C-38BA-E063-4704A8C05A7C,1300000,2024-01-05,SL6 8HP,D,,F,66,SHEEPHOUSE ROAD,A
1775CCF6-E496-38BA-E063-4704A8C05A7C,474000,2024-01-05,SL6 6EG,T,,F,103,POWNEY ROAD,A
1061746D-AA01-3C34-E063-4804A8C0F9E7,708000,2024-01-05,SL6 6NY,S,,F,FURZE DALE COTTAGE,BIX LANE,A
1775CCF6-E530-38BA-E063-4704A8C05A7C,575000,2024-01-05,SL6 9HF,S,,F,10,LOWER ROAD,A
1775CCF6-EA08-38BA-E063-4704A8C05A7C,438000,2024-01-05,SL6 0DU,S,,F,32,HARCOURT ROAD,A
1775CCF6-E80B-38BA-E063-4704A8C05A7C,925000,2024-01-05,SL6 3JS,S,,F,OLD SCHOOL HOUSE,,A
1061746D-AAFA-3C34-E063-4804A8C0F9E7,290000,2024-01-08,SL6 6DY,F,,F,12,ALSTON GARDENS,A
1061746D-ABF1-3C34-E063-4804A8C0F9E7,687500,2024-01-08,SL6 4FY,T,,F,7,VICARAGE MEWS,A
1061746D-AB8E-3C34-E063-4804A8C0F9E7,231000,2024-01-08,SL6 8RU,F,,F,WESTCOIGN HOUSE,RAY PARK AVENUE,A
152AB733-848D-E651-E063-4704A8C061D9,365000,2024-01-09,SL6 1AH,F,,F,"ALDER HOUSE, 5",WALLINGFORD WAY,A
1C3E72FD-D58B-F410-E063-4804A8C0DFA6,372000,2024-01-09,SL6 8DU,T,,F,7,CAMPERDOWN,A
1061746D-AAAD-3C34-E063-4804A8C0F9E7,225000,2024-01-10,SL6 8NA,F,,F,127A,BRIDGE ROAD,A
1061746D-A9F4-3C34-E063-4804A8C0F9E7,510000,2024-01-10,SL6 3HS,S,,F,71,TREESMILL DRIVE,A
1775CCF6-E61E-38BA-E063-4704A8C05A7C,1250000,2024-01-11,SL6 8TP,D,,F,WICKETS,HORTON CLOSE,A
1C3E72FD-D1D4-F410-E063-4804A8C0DFA6,845000,2024-01-11,SL6 2ES,D,,F,10,THE BINGHAMS,A
1C3E72FD-D254-F410-E063-4804A8C0DFA6,572000,2024-01-11,SL6 6HY,S,,F,151,COURTHOUSE ROAD,A
1775CCF6-E62D-38BA-E063-4704A8C05A7C,260000,2024-01-11,SL6 4JU,F,,F,CEDAR COURT,BATH ROAD,A
1775CCF6-E7FC-38BA-E063-4704A8C05A7C,709500,2024-01-11,SL6 6EJ,D,,F,19,PENYSTON ROAD,A
2ACACE8C-9383-295E-E063-4804A8C0B0EB,346000,2024-01-12,SL6 1SG,F,,F,15,TRINITY PLACE,A
1061746E-BB22-3C34-E063-4804A8C0F9E7,285000,2024-01-12,SL6 7BT,T,,F,45,CORDWALLIS ROAD,B
2F7F2B43-C1C2-E08F-E063-4804A8C05A49,20000,2024-01-12,SL6 9QX,O,,F,WHITE PLACE FARM,SUTTON ROAD,B
1775CCF6-E691-38BA-E063-4704A8C05A7C,245000,2024-01-12,SL6 4JF,F,,F,34,CROXLEY RISE,A
25E9DA80-6A79-555E-E063-4704A8C066F2,440000,2024-01-12,SL6 9EA,T,,F,CANNON DOWN COTTAGES,MAIDENHEAD ROAD,A
1061746D-AA15-3C34-E063-4804A8C0F9E7,800000,2024-01-12,SL6 6SU,D,,F,19,BALMORAL,A
1775CCF6-E609-38BA-E063-4704A8C05A7C,247500,2024-01-12,SL6 8DY,F,,F,"SOMERSHAM, 26",RAY PARK AVENUE,A
1C3E72FD-D54E-F410-E063-4804A8C0DFA6,357500,2024-01-12,SL6 7DF,F,,F,BOWDOWN HOUSE,CLIVEMONT ROAD,A
1C3E72FD-D22E-F410-E063-4804A8C0DFA6,505000,2024-01-15,SL6 4DN,T,,F,57,CLARE ROAD,A
25E9DA80-6CAC-555E-E063-4704A8C066F2,228000,2024-01-15,SL6 7TP,F,,F,MARLBOROUGH HOUSE,CLIVEMONT ROAD,A
2859C1AB-85C0-52B4-E063-4804A8C05948,195000,2024-01-17,SL6 7DY,F,,F,ST JAMES HOUSE,CLIVEMONT ROAD,A
152AB733-87A6-E651-E063-4704A8C061D9,1925000,2024-01-18,SL6 0HH,D,,F,HITCHAM GLEBE,HUNTS LANE,A
1C3E72FD-D243-F410-E063-4804A8C0DFA6,451000,2024-01-18,SL6 7PD,S,,F,3,HARROW LANE,A
1C3E72FD-D577-F410-E063-4804A8C0DFA6,2000000,2024-01-19,SL6 9QJ,D,,F,SUMNER,SCHOOL LANE,A
2F7F2B42-AE90-E08F-E063-4804A8C05A49,306000,2024-01-19,SL6 8DY,F,,F,"KIMBOLTON, 24",RAY PARK AVENUE,A
12A8BAB5-E57C-2125-E063-4804A8C08CC1,320000,2024-01-19,SL6 2GN,F,,F,26,IMPERIAL PLACE,A
12A8BAB5-E46B-2125-E063-4804A8C08CC1,590000,2024-01-19,SL6 4PF,S,,F,4,ALTWOOD ROAD,A
1C3E72FD-D54C-F410-E063-4804A8C0DFA6,260000,2024-01-19,SL6 7DU,F,,F,AUDREY HOUSE,CLIVEMONT ROAD,A
237B17FD-A564-22AC-E063-4804A8C0EA3A,587500,2024-01-22,SL6 6FT,S,,F,10,GODAYN GROVE,A
1061746D-AAC3-3C34-E063-4804A8C0F9E7,390000,2024-01-22,SL6 8UP,F,,F,LOCKBRIDGE COURT,RAY PARK ROAD,A
152AB733-8406-E651-E063-4704A8C061D9,380000,2024-01-22,SL6 2QA,F,,F,ARAGON COURT,SHOPPENHANGERS ROAD,A
2859C1AB-83EE-52B4-E063-4804A8C05948,412000,2024-01-22,SL6 1NZ,S,,F,42,ALBERT STREET,A
12A8BAB6-E3DF-2125-E063-4804A8C08CC1,1310000,2024-01-23,SL6 1QH,O,,F,16,HIGH STREET,B
25E9DA81-C420-555E-E063-4704A8C066F2,187000,2024-01-24,SL6 7EH,F,,F,25,CHURCH VIEWS,B
1A0C5C63-0BC9-7CBE-E063-4804A8C06C96,1090000,2024-01-24,SL6 8HX,D,,F,8,ELMWOOD,A
1A0C5C63-0D35-7CBE-E063-4804A8C06C96,395000,2024-01-24,SL6 8LA,F,,F,HERONS PLACE,COURT ROAD,A
1A0C5C63-0D2D-7CBE-E063-4804A8C06C96,420000,2024-01-24,SL6 9AT,T,,F,UPPER VENTNOR COTTAGES,POPES LANE,A
12A8BAB5-E4E8-2125-E063-4804A8C08CC1,309950,2024-01-25,SL6 7NB,F,,F,CALDER COURT,GRINGER HILL,A
2ACACE8D-7DF8-295E-E063-4804A8C0B0EB,420000,2024-01-26,SL6 1BX,F,,F,RIALTO,CROWN LANE,B
1C3E72FE-EC29-F410-E063-4804A8C0DFA6,580000,2024-01-26,SL6 7BR,T,,F,66,CORDWALLIS ROAD,B
1C3E72FD-D1B2-F410-E063-4804A8C0DFA6,6189800,2024-01-26,SL6 9TR,D,,F,GIBRALTAR HOUSE,GIBRALTAR LANE,A
12A8BAB5-E37C-2125-E063-4804A8C08CC1,515000,2024-01-26,SL6 4AP,S,,F,37,WESTBOROUGH ROAD,A
25E9DA80-6C9E-555E-E063-4704A8C066F2,256500,2024-01-26,SL6 7TP,F,,F,MARLBOROUGH HOUSE,CLIVEMONT ROAD,A
152AB733-841D-E651-E063-4704A8C061D9,940000,2024-01-26,SL6 1DE,S,,F,64,BRAYWICK ROAD,A
25E9DA80-6CAB-555E-E063-4704A8C066F2,247500,2024-01-26,SL6 7TP,F,,F,MARLBOROUGH HOUSE,CLIVEMONT ROAD,A
12A8BAB5-E78D-2125-E063-4804A8C08CC1,880000,2024-01-26,SL6 1TE,T,,F,25,THE FARTHINGALES,A
25E9DA80-6CAF-555E-E063-4704A8C066F2,245225,2024-01-26,SL6 7TP,F,,F,MARLBOROUGH HOUSE,CLIVEMONT ROAD,A
1061746D-AB28-3C34-E063-4804A8C0F9E7,220000,2024-01-26,SL6 7YN,F,,F,17,BAILEY CLOSE,A
1A0C5C63-0D79-7CBE-E063-4804A8C06C96,270000,2024-01-26,SL6 2LA,F,,F,7A,STOMPITS ROAD,A
1C3E72FD-D207-F410-E063-4804A8C0DFA6,3118000,2024-01-26,SL6 9TJ,D,,F,RONDA HOUSE,TERRYS LANE,A
38EDC0C2-A1EB-0F63-E063-4704A8C00424,430000,2024-01-26,SL6 1BP,F,,F,"ELGAR PLACE, 3 - 6",BRIDGE AVENUE,A
237B17FD-AB4A-22AC-E063-4804A8C0EA3A,375000,2024-01-26,SL6 0FN,F,,F,JUBILEE HOUSE,CORNWALL GARDENS,A
402A3A65-82EE-A7DF-E063-4804A8C0B80D,1025000,2024-01-26,SL6 1BY,D,,F,51,RUSHINGTON AVENUE,A
1A0C5C63-0BCB-7CBE-E063-4804A8C06C96,580000,2024-01-29,SL6 8RF,T,,F,53,BLACKAMOOR LANE,A
12A8BAB5-E565-2125-E063-4804A8C08CC1,209000,2024-01-29,SL6 8FW,F,,F,LEWIS COURT,MOORBRIDGE ROAD,A
12A8BAB5-E3C5-2125-E063-4804A8C08CC1,400000,2024-01-29,SL6 6SW,S,,F,80,BEVERLEY GARDENS,A
12A8BAB5-E4B9-2125-E063-4804A8C08CC1,502500,2024-01-29,SL6 5AF,S,,F,12,HIGHWAY AVENUE,A
1A0C5C63-0D6A-7CBE-E063-4804A8C06C96,260000,2024-01-30,SL6 1QR,F,,F,PULSE,CROWN LANE,A
