property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
1061746E-3905-3C34-E063-4804A8C0F9E7,UB3 1AH,18,ROSTREVOR GARDENS,S,2024-01-03,420000,,,,
1C3E72FE-6549-F410-E063-4804A8C0DFA6,UB3 2QJ,43,CRANMER ROAD,T,2024-01-04,480000,,,,
1C3E72FD-C570-F410-E063-4804A8C0DFA6,UB3 2LN,102,CHURCH ROAD,S,2024-01-10,575000,,,,
1775CCF6-D944-38BA-E063-4704A8C05A7C,UB3 5LT,27,WEST END LANE,F,2024-01-11,280000,,,,
1A0C5C64-0049-7CBE-E063-4804A8C06C96,UB3 5EH,23,SIPSON LANE,S,2024-01-12,550000,,,,
2131FCF6-4556-86E8-E063-4804A8C0372B,UB3 1JU,52,PRINCES PARK LANE,T,2024-01-12,266500,,,,
1A0C5C64-013F-7CBE-E063-4804A8C06C96,UB3 2LW,142,CHURCH ROAD,T,2024-01-13,450000,,,,
2F7F2B43-BE99-E08F-E063-4804A8C05A49,UB3 5AR,4,MONDIAL WAY,F,2024-01-14,181000,,,,
31C68072-DE71-FEE3-E063-4804A8C04F37,UB3 4LE,114,CRANFORD DRIVE,T,2024-01-16,410000,,,,
152AB733-FD5B-E651-E063-4704A8C061D9,UB3 3AW,28,HUGHES ROAD,S,2024-01-17,500000,,,,
1A0C5C63-7DA4-7CBE-E063-4804A8C06C96,UB3 4QP,11,GORDON CRESCENT,S,2024-01-19,515000,,,,
1A0C5C63-7E42-7CBE-E063-4804A8C06C96,UB3 2NG,13,LANNOCK ROAD,S,2024-01-19,525000,,,,
2859C1AB-76EE-52B4-E063-4804A8C05948,UB3 4GE,"FORASTERO HOUSE, 24",FARINE AVENUE,F,2024-01-19,515000,,,,
1C3E72FE-E8ED-F410-E063-4804A8C0DFA6,UB3 4EX,69,WOOLACOMBE WAY,T,2024-01-23,435000,,,,
1A0C5C64-0169-7CBE-E063-4804A8C06C96,UB3 2QU,21,WAYLANDS,T,2024-01-25,445000,,,,
