certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
9130-2047-5020-2109-8265,UB3 1AH,18,ROSTREVOR GARDENS,88.0,,,
7737-2924-1200-0723-5292,UB3 2QJ,43,CRANMER ROAD,79.0,,,
5800-3359-0222-0205-3373,UB3 2LN,102,CHURCH ROAD,82.0,,,
2638-5024-7209-3183-3990,UB3 5LT,27,WEST END LANE,72.0,,,
7617-7326-8120-0560-4226,UB3 5EH,23,SIPSON LANE,89.0,,,
8871-7827-2140-3982-7902,UB3 1JU,52,PRINCES PARK LANE,80.0,,,
0259-3027-1206-0167-3200,UB3 2LW,142,CHURCH ROAD,93.0,,,
0450-2808-7676-9503-8771,UB3 3ES,58A,COLDHARBOUR LANE,91.0,,,
0380-2667-7170-2002-0465,UB3 4LE,114,CRANFORD DRIVE,89.0,,,
2116-1412-1523-0161-1221,UB3 3AW,28,HUGHES ROAD,88.0,,,
9156-2853-7894-9093-9855,UB3 4QP,11,GORDON CRESCENT,92.0,,,
0340-2956-2280-2497-8925,UB3 2NG,13,LANNOCK ROAD,70.0,,,
0743-2817-7092-9796-7651,UB3 5ED,11,MANSE CLOSE,55.0,,,
9219-0126-4000-0440-2296,UB3 4EX,69,WOOLACOMBE WAY,78.0,,,
2912-4326-8120-0897-4222,UB3 2QU,21,WAYLANDS,73.0,,,
8654-6429-9380-5200-3976,UB3 3JN,9,MINET DRIVE,208.0,,,
2715-1014-7224-6567-1200,UB3 3PD,129,BIRCHWAY,84.0,,,
0300-2806-3290-2627-0341,UB3 4HD,142,CLEAVE AVENUE,71.0,,,
0320-2574-0250-2407-5631,UB3 2QJ,27,CRANMER ROAD,96.0,,,
0390-2596-0250-2797-8651,UB3 1PJ,67,PINKWELL LANE,93.0,,,
9120-2346-4090-2120-7275,UB3 1QA,9,GLAMIS CRESCENT,87.0,,,
8735-7824-3400-0102-7222,UB3 2BQ,29,EVERGREEN WAY,77.0,,,
0300-2866-1280-2497-0941,UB3 2QB,23,TUDOR ROAD,63.0,,,
0855-2852-6466-9691-8585,UB3 5NL,12,RAYWOOD CLOSE,49.0,,,
0310-2246-1260-2407-7775,UB3 5AE,28,DAVID CLOSE,28.0,,,
9360-2392-4390-2427-3211,UB3 2RG,9,ROSEDALE AVENUE,57.0,,,
3317-2129-9120-0449-4222,UB3 3PZ,97,AVONDALE DRIVE,78.0,,,
0537-2621-7300-0038-0222,UB3 1NG,26,PINKWELL AVENUE,104.0,,,
9508-2865-7026-9594-4525,UB3 2TT,23,KINGSWAY,74.0,,,
0300-2601-1270-2907-7461,UB3 2TW,45,YORK AVENUE,74.0,,,
2110-4540-9070-7196-5201,UB3 1JG,31,CHESTNUT CLOSE,84.0,,,
8950-6922-5440-7966-4226,UB3 1QL,32,BOURNE AVENUE,91.0,,,
8665-6725-4620-3575-9996,UB3 5BQ,89,NEW ROAD,69.0,,,
9425-3933-9202-9397-0204,UB3 2BE,91,BOTWELL CRESCENT,49.0,,,
