property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
1775CCF7-6445-38BA-E063-4704A8C05A7C,W13 0JE,19,DRAYTON GREEN,T,2024-01-03,967500,,,,
1EAE3DF6-C424-9EB1-E063-4704A8C09D02,W13 9RW,29,GREEN AVENUE,T,2024-01-04,690000,,,,
1775CCF7-6481-38BA-E063-4704A8C05A7C,W13 9TN,20,BALFOUR ROAD,T,2024-01-05,840000,,,,
34222872-AC53-4D2B-E063-4704A8C07853,W13 0DE,3,CLAREMONT ROAD,S,2024-01-10,500000,,,,
1A0C5C63-7DEC-7CBE-E063-4804A8C06C96,W13 9RN,56,ALTENBURG AVENUE,T,2024-01-11,947500,,,,
237B17FE-3A7B-22AC-E063-4804A8C0EA3A,W13 9TF,31,BELSIZE AVENUE,T,2024-01-16,650000,,,,
12A8BAB5-D88A-2125-E063-4804A8C08CC1,W13 8RY,16,DRAYTON GREEN ROAD,F,2024-01-19,420500,,,,
1EAE3DF6-C442-9EB1-E063-4704A8C09D02,W13 8LU,1,AMHERST ROAD,S,2024-01-24,1770000,,,,
2859C1AB-76F9-52B4-E063-4804A8C05948,W13 9BT,28,MELBOURNE AVENUE,F,2024-01-24,305000,,,,
1A0C5C63-E2F5-7CBE-E063-4804A8C06C96,W13 8DS,1,WOBURN,F,2024-01-24,210000,,,,
12A8BAB5-D728-2125-E063-4804A8C08CC1,W13 9AE,9A,CHAPEL ROAD,F,2024-01-24,420000,,,,
1A0C5C63-E349-7CBE-E063-4804A8C06C96,W13 9TP,140,MIDHURST ROAD,D,2024-01-26,385000,,,,
1C3E72FE-696D-F410-E063-4804A8C0DFA6,W13 9HP,59,SEAFORD ROAD,T,2024-01-26,830000,,,,
1C3E72FE-6AB1-F410-E063-4804A8C0DFA6,W13 9PN,13,PURSEWARDENS CLOSE,F,2024-01-26,335000,,,,
12A8BAB6-6ED9-2125-E063-4804A8C08CC1,W13 9XH,19,LITTLEWOOD CLOSE,T,2024-01-30,575000,,,,
2F7F2B42-A161-E08F-E063-4804A8C05A49,W13 8PJ,98,GORDON ROAD,F,2024-01-31,685000,,,,
1C3E72FD-C486-F410-E063-4804A8C0DFA6,W13 8HX,ST. STEPHENS COURT,THE AVENUE,F,2024-01-31,400000,,,,
1A0C5C63-8072-7CBE-E063-4804A8C06C96,W13 8HY,70,THE KNOLL,T,2024-01-31,785000,,,,
1A0C5C63-8141-7CBE-E063-4804A8C06C96,W13 8AS,15,SHERBORNE GARDENS,F,2024-01-31,430000,,,,
25E9DA80-54CF-555E-E063-4704A8C066F2,W13 0AX,11,CROSSWAY,T,2024-02-02,690000,,,,
152AB733-775B-E651-E063-4704A8C061D9,W13 0JP,13,SAWYERS LAWN,F,2024-02-05,304000,,,,
12A8BAB6-6BC2-2125-E063-4804A8C08CC1,W13 9SB,164,NORTHFIELD AVENUE,T,2024-02-05,800000,,,,
1C3E72FE-8542-F410-E063-4804A8C0DFA6,W13 0EL,132,CLEVELAND ROAD,S,2024-02-06,960000,,,,
31C68072-DF0A-FEE3-E063-4804A8C04F37,W13 8PH,20,THE AVENUE,F,2024-02-09,300000,,,,
31C68072-DF2C-FEE3-E063-4804A8C04F37,W13 8PH,20,THE AVENUE,F,2024-02-09,425000,,,,
31C68072-DF0B-FEE3-E063-4804A8C04F37,W13 8PH,20,THE AVENUE,F,2024-02-09,330000,,,,
1A0C5C63-026D-7CBE-E063-4804A8C06C96,W13 0BZ,15,FOSSE WAY,S,2024-02-09,835000,,,,
152AB733-FDA4-E651-E063-4704A8C061D9,W13 0EH,91,KINGSLEY AVENUE,S,2024-02-14,930000,,,,
12A8BAB6-6E3B-2125-E063-4804A8C08CC1,W13 8PZ,68,LANGHAM GARDENS,F,2024-02-15,425000,,,,
1A0C5C63-7D4E-7CBE-E063-4804A8C06C96,W13 8LA,100,THE AVENUE,D,2024-02-15,2750000,,,,
1C3E72FE-66A5-F410-E063-4804A8C0DFA6,W13 9XN,15,CHALFONT WAY,T,2024-02-16,1140000,,,,
2131FCF6-44B0-86E8-E063-4804A8C0372B,W13 9EU,123,HESSEL ROAD,T,2024-02-16,880000,,,,
1C3E72FE-64EF-F410-E063-4804A8C0DFA6,W13 9DR,81,LEIGHTON ROAD,S,2024-02-16,1175000,,,,
1C3E72FE-698D-F410-E063-4804A8C0DFA6,W13 8PY,27,LANGHAM GARDENS,F,2024-02-19,425000,,,,
1EAE3DF6-265D-9EB1-E063-4704A8C09D02,W13 8JE,16,HERONSFORDE,T,2024-02-19,770000,,,,
1EAE3DF6-2053-9EB1-E063-4704A8C09D02,W13 0SA,"ROSEMOOR HOUSE, 90 - 94",BROADWAY,F,2024-02-19,316950,,,,
12A8BAB5-D688-2125-E063-4804A8C08CC1,W13 8BD,"FROBISHER COURT, 15",CLEVELAND ROAD,F,2024-02-19,450000,,,,
12A8BAB5-D680-2125-E063-4804A8C08CC1,W13 8DB,"WOODBURY COURT, 2",WOODBURY PARK ROAD,F,2024-02-20,345000,,,,
1C3E72FE-6699-F410-E063-4804A8C0DFA6,W13 0EQ,31,KINGSLEY AVENUE,S,2024-02-20,1900000,,,,
1EAE3DF6-C438-9EB1-E063-4704A8C09D02,W13 9EW,4,CHAMBERLAIN ROAD,T,2024-02-21,690000,,,,
25E9DA80-56B0-555E-E063-4704A8C066F2,W13 0DT,12,SUTHERLAND ROAD,F,2024-02-23,345000,,,,
31C68071-B152-FEE3-E063-4804A8C04F37,W13 0NZ,77A,FELIX ROAD,F,2024-02-26,460000,,,,
2F7F2B42-A1B4-E08F-E063-4804A8C05A49,W13 8PJ,98,GORDON ROAD,F,2024-02-27,560000,,,,
1EAE3DF6-227B-9EB1-E063-4704A8C09D02,W13 0FJ,PEREGRINE HOUSE,GURNELL GROVE,F,2024-02-27,437500,,,,
152AB734-00E6-E651-E063-4704A8C061D9,W13 9TE,4,WYNDHAM ROAD,T,2024-02-29,1050000,,,,
152AB733-7A68-E651-E063-4704A8C061D9,W13 8BP,BROXBURN HOUSE,BATHGATE PLACE,F,2024-02-29,790000,,,,
1EAE3DF6-227C-9EB1-E063-4704A8C09D02,W13 0NA,6,GLENMORE LAWNS,F,2024-02-29,520000,,,,
1A0C5C63-01E8-7CBE-E063-4804A8C06C96,W13 9JE,4,BONCHURCH ROAD,F,2024-03-01,399950,,,,
2F7F2B42-A17A-E08F-E063-4804A8C05A49,W13 8PJ,98,GORDON ROAD,F,2024-03-01,695000,,,,
