certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
0137-2523-6200-0564-8292,W13 0JE,19,DRAYTON GREEN,125.0,,,
0330-2496-1230-2307-6851,W13 9RW,29,GREEN AVENUE,82.0,,,
0699-2852-6292-9428-2001,W13 9TN,20,BALFOUR ROAD,99.0,,,
0476-2856-6334-9697-7861,W13 0DE,3,CLAREMONT ROAD,93.0,,,
0360-2403-3310-2007-1055,W13 9RN,56,ALTENBURG AVENUE,110.0,,,
0850-2834-7483-9303-6051,W13 9TF,31,BELSIZE AVENUE,79.0,,,
0380-2964-6230-2697-1865,W13 8LU,1,AMHERST ROAD,229.0,,,
2898-9067-7218-7110-6200,W13 9BT,28,MELBOURNE AVENUE,162.0,,,
0647-3943-2200-4724-1204,W13 8DS,1,WOBURN,29.0,,,
0574-2855-6426-2700-6201,W13 9AE,9A,CHAPEL ROAD,51.0,,,
2535-6639-9400-0413-5226,W13 9TP,140,MIDHURST ROAD,144.0,,,
9495-3028-8203-8347-4204,W13 0TF,57,CONNAUGHT ROAD,89.0,,,
0188-8038-7263-6551-4970,W13 9HP,59,SEAFORD ROAD,116.0,,,
8098-7045-7129-6696-4913,W13 9PN,13,PURSEWARDENS CLOSE,37.0,,,
0320-2049-8230-2727-7825,W13 9XH,19,LITTLEWOOD CLOSE,65.0,,,
9408-3014-7286-3765-8980,W13 8PJ,98,GORDON ROAD,242.0,,,
8600-3019-0322-3294-3473,W13 8HY,70,THE KNOLL,113.0,,,
8778-7727-5240-2685-6902,W13 0AX,11,CROSSWAY,67.0,,,
8400-6823-4690-5730-9276,W13 0JP,13,SAWYERS LAWN,41.0,,,
8973-6125-6400-3028-6902,W13 9SB,164,NORTHFIELD AVENUE,104.0,,,
2600-0137-0722-0293-3753,W13 0EL,132,CLEVELAND ROAD,259.0,,,
8437-9322-9200-0753-4222,W13 0BZ,15,FOSSE WAY,105.0,,,
7705-3029-4208-2487-7200,W13 0EH,91,KINGSLEY AVENUE,122.0,,,
9373-3018-0203-7262-2204,W13 8PZ,68,LANGHAM GARDENS,66.0,,,
9360-2448-5300-2697-6105,W13 8LA,100,THE AVENUE,274.0,,,
2737-0125-4200-0635-7222,W13 9XN,15,CHALFONT WAY,178.0,,,
8054-6621-8690-9653-8996,W13 9EU,123,HESSEL ROAD,108.0,,,
9360-2047-4300-2707-1065,W13 9DR,81,LEIGHTON ROAD,178.0,,,
