unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,paon,street,transaction_category
1775CCF7-6445-38BA-E063-4704A8C05A7C,967500,2024-01-03,W13 0JE,T,,F,19,DRAYTON GREEN,A
1EAE3DF6-C424-9EB1-E063-4704A8C09D02,690000,2024-01-04,W13 9RW,T,,F,29,GREEN AVENUE,A
1775CCF7-6481-38BA-E063-4704A8C05A7C,840000,2024-01-05,W13 9TN,T,,F,20,BALFOUR ROAD,A
34222872-AC53-4D2B-E063-4704A8C07853,500000,2024-01-10,W13 0DE,S,,F,3,CLAREMONT ROAD,A
1A0C5C63-7DEC-7CBE-E063-4804A8C06C96,947500,2024-01-11,W13 9RN,T,,F,56,ALTENBURG AVENUE,A
237B17FE-3A7B-22AC-E063-4804A8C0EA3A,650000,2024-01-16,W13 9TF,T,,F,31,BELSIZE AVENUE,A
12A8BAB5-D88A-2125-E063-4804A8C08CC1,420500,2024-01-19,W13 8RY,F,,F,16,DRAYTON GREEN ROAD,A
1EAE3DF6-C442-9EB1-E063-4704A8C09D02,1770000,2024-01-24,W13 8LU,S,,F,1,AMHERST ROAD,A
2859C1AB-76F9-52B4-E063-4804A8C05948,305000,2024-01-24,W13 9BT,F,,F,28,MELBOURNE AVENUE,A
1A0C5C63-E2F5-7CBE-E063-4804A8C06C96,210000,2024-01-24,W13 8DS,F,,F,1,WOBURN,B
12A8BAB5-D728-2125-E063-4804A8C08CC1,420000,2024-01-24,W13 9AE,F,,F,9A,CHAPEL ROAD,A
1A0C5C63-E349-7CBE-E063-4804A8C06C96,385000,2024-01-26,W13 9TP,D,,F,140,MIDHURST ROAD,B
1C3E72FF-0E1E-F410-E063-4804A8C0DFA6,715000,2024-01-26,W13 0TF,O,,F,57,CONNAUGHT ROAD,B
1C3E72FE-696D-F410-E063-4804A8C0DFA6,830000,2024-01-26,W13 9HP,T,,F,59,SEAFORD ROAD,A
1C3E72FE-6AB1-F410-E063-4804A8C0DFA6,335000,2024-01-26,W13 9PN,F,,F,13,PURSEWARDENS CLOSE,A
12A8BAB6-6ED9-2125-E063-4804A8C08CC1,575000,2024-01-30,W13 9XH,T,,F,19,LITTLEWOOD CLOSE,A
2F7F2B42-A161-E08F-E063-4804A8C05A49,685000,2024-01-31,W13 8PJ,F,,F,98,GORDON ROAD,A
1C3E72FD-C486-F410-E063-4804A8C0DFA6,400000,2024-01-31,W13 8HX,F,,F,ST. STEPHENS COURT,THE AVENUE,A
1A0C5C63-8072-7CBE-E063-4804A8C06C96,785000,2024-01-31,W13 8HY,T,,F,70,THE KNOLL,A
1A0C5C63-8141-7CBE-E063-4804A8C06C96,430000,2024-01-31,W13 8AS,F,,F,15,SHERBORNE GARDENS,A
25E9DA80-54CF-555E-E063-4704A8C066F2,690000,2024-02-02,W13 0AX,T,,F,11,CROSSWAY,A
152AB733-775B-E651-E063-4704A8C061D9,304000,2024-02-05,W13 0JP,F,,F,13,SAWYERS LAWN,A
12A8BAB6-6BC2-2125-E063-4804A8C08CC1,800000,2024-02-05,W13 9SB,T,,F,164,NORTHFIELD AVENUE,A
1C3E72FE-8542-F410-E063-4804A8C0DFA6,960000,2024-02-06,W13 0EL,S,,F,132,CLEVELAND ROAD,A
31C68072-DF0A-FEE3-E063-4804A8C04F37,300000,2024-02-09,W13 8PH,F,,F,20,THE AVENUE,B
31C68072-DF2C-FEE3-E063-4804A8C04F37,425000,2024-02-09,W13 8PH,F,,F,20,THE AVENUE,B
31C68072-DF0B-FEE3-E063-4804A8C04F37,330000,2024-02-09,W13 8PH,F,,F,20,THE AVENUE,B
1A0C5C63-026D-7CBE-E063-4804A8C06C96,835000,2024-02-09,W13 0BZ,S,,F,15,FOSSE WAY,A
3B5CE842-7EAB-EE3A-E063-4804A8C0D6F1,220000,2024-02-09,W13 8PH,O,,F,20,THE AVENUE,B
152AB733-FDA4-E651-E063-4704A8C061D9,930000,2024-02-14,W13 0EH,S,,F,91,KINGSLEY AVENUE,A
12A8BAB6-6E3B-2125-E063-4804A8C08CC1,425000,2024-02-15,W13 8PZ,F,,F,68,LANGHAM GARDENS,A
1A0C5C63-7D4E-7CBE-E063-4804A8C06C96,2750000,2024-02-15,W13 8LA,D,,F,100,THE AVENUE,A
1C3E72FE-66A5-F410-E063-4804A8C0DFA6,1140000,2024-02-16,W13 9XN,T,,F,15,CHALFONT WAY,A
2131FCF6-44B0-86E8-E063-4804A8C0372B,880000,2024-02-16,W13 9EU,T,,F,123,HESSEL ROAD,A
1C3E72FE-64EF-F410-E063-4804A8C0DFA6,1175000,2024-02-16,W13 9DR,S,,F,81,LEIGHTON ROAD,A
1C3E72FE-698D-F410-E063-4804A8C0DFA6,425000,2024-02-19,W13 8PY,F,,F,27,LANGHAM GARDENS,A
1EAE3DF6-265D-9EB1-E063-4704A8C09D02,770000,2024-02-19,W13 8JE,T,,F,16,HERONSFORDE,A
1EAE3DF6-2053-9EB1-E063-4704A8C09D02,316950,2024-02-19,W13 0SA,F,,F,"ROSEMOOR HOUSE, 90 - 94",BROADWAY,A
12A8BAB5-D688-2125-E063-4804A8C08CC1,450000,2024-02-19,W13 8BD,F,,F,"FROBISHER COURT, 15",CLEVELAND ROAD,A
12A8BAB5-D680-2125-E063-4804A8C08CC1,345000,2024-02-20,W13 8DB,F,,F,"WOODBURY COURT, 2",WOODBURY PARK ROAD,A
1C3E72FE-6699-F410-E063-4804A8C0DFA6,1900000,2024-02-20,W13 0EQ,S,,F,31,KINGSLEY AVENUE,A
1EAE3DF6-C438-9EB1-E063-4704A8C09D02,690000,2024-02-21,W13 9EW,T,,F,4,CHAMBERLAIN ROAD,A
25E9DA80-56B0-555E-E063-4704A8C066F2,345000,2024-02-23,W13 0DT,F,,F,12,SUTHERLAND ROAD,A
31C68071-B152-FEE3-E063-4804A8C04F37,460000,2024-02-26,W13 0NZ,F,,F,77A,FELIX ROAD,A
2F7F2B42-A1B4-E08F-E063-4804A8C05A49,560000,2024-02-27,W13 8PJ,F,,F,98,GORDON ROAD,A
1EAE3DF6-227B-9EB1-E063-4704A8C09D02,437500,2024-02-27,W13 0FJ,F,,F,PEREGRINE HOUSE,GURNELL GROVE,A
152AB734-00E6-E651-E063-4704A8C061D9,1050000,2024-02-29,W13 9TE,T,,F,4,WYNDHAM ROAD,A
152AB733-7A68-E651-E063-4704A8C061D9,790000,2024-02-29,W13 8BP,F,,F,BROXBURN HOUSE,BATHGATE PLACE,A
1EAE3DF6-227C-9EB1-E063-4704A8C09D02,520000,2024-02-29,W13 0NA,F,,F,6,GLENMORE LAWNS,A
1A0C5C63-01E8-7CBE-E063-4804A8C06C96,399950,2024-03-01,W13 9JE,F,,F,4,BONCHURCH ROAD,A
2F7F2B42-A17A-E08F-E063-4804A8C05A49,695000,2024-03-01,W13 8PJ,F,,F,98,GORDON ROAD,A
152AB734-86B2-E651-E063-4704A8C061D9,615000,2024-03-11,W13 9JZ,T,,F,55,GLENFIELD ROAD,B
1EAE3DF6-2485-9EB1-E063-4704A8C09D02,448000,2024-03-15,W13 9NF,F,,F,11,CHURCHFIELD ROAD,A
50D10B83-B467-B8D0-E063-4704A8C08D98,372500,2024-03-15,W13 9LD,F,,F,LIDO HOUSE,NORTHFIELD AVENUE,A
31C68071-B177-FEE3-E063-4804A8C04F37,725000,2024-03-15,W13 8LY,D,,F,34A,WALDECK ROAD,A
42C129E4-29B7-60A9-E063-4804A8C0C25D,151250,2024-03-15,W13 9FU,F,,F,FOREST HOUSE,SHERWOOD CLOSE,A
1775CCF7-D442-38BA-E063-4704A8C05A7C,580000,2024-03-15,W13 8ER,O,,F,150C,ARGYLE ROAD,B
2131FCF5-A814-86E8-E063-4804A8C0372B,366000,2024-03-15,W13 0FE,F,,F,REDWELL HOUSE,SINGAPORE ROAD,A
1775CCF6-D788-38BA-E063-4704A8C05A7C,184500,2024-03-18,W13 9BE,F,,F,119 - 119A,BROADWAY,A
1EAE3DF6-C490-9EB1-E063-4704A8C09D02,1250000,2024-03-21,W13 8BU,S,,F,41,KENT GARDENS,A
2131FCF6-4261-86E8-E063-4804A8C0372B,904000,2024-03-21,W13 9EU,S,,F,131,HESSEL ROAD,A
2859C1AC-36B3-52B4-E063-4804A8C05948,1212500,2024-03-21,W13 0EQ,S,,F,13,KINGSLEY AVENUE,A
1775CCF7-6818-38BA-E063-4704A8C05A7C,1225000,2024-03-22,W13 8HA,S,,F,17,MONTAGUE ROAD,A
2131FCF5-A761-86E8-E063-4804A8C0372B,390000,2024-03-22,W13 8QH,F,,F,27,HASTINGS ROAD,A
1A0C5C63-02BC-7CBE-E063-4804A8C06C96,730000,2024-03-22,W13 0FD,F,,F,MARGIL HOUSE,SINGAPORE ROAD,A
42C129E4-29C3-60A9-E063-4804A8C0C25D,129900,2024-03-22,W13 9FU,F,,F,FOREST HOUSE,SHERWOOD CLOSE,A
1775CCF7-642E-38BA-E063-4704A8C05A7C,1295000,2024-03-26,W13 9LP,S,,F,31,RATHGAR AVENUE,A
2131FCF6-4237-86E8-E063-4804A8C0372B,695000,2024-03-27,W13 9TF,F,,F,11,BELSIZE AVENUE,A
2D4D7608-9125-BDF9-E063-4804A8C0672F,243500,2024-03-27,W13 8EW,F,,F,26A,RAVENSBOURNE GARDENS,A
2859C1AC-35D7-52B4-E063-4804A8C05948,710000,2024-03-27,W13 0RL,T,,F,74,ECCLESTON ROAD,A
1EAE3DF6-C41C-9EB1-E063-4704A8C09D02,445000,2024-03-27,W13 0DH,S,,F,52,HATHAWAY GARDENS,A
34222871-EC67-4D2B-E063-4704A8C07853,109500,2024-03-27,W13 9FU,F,,F,FOREST HOUSE,SHERWOOD CLOSE,A
1775CCF7-D42F-38BA-E063-4704A8C05A7C,300000,2024-03-28,W13 0HT,F,,F,17,PELHAM PLACE,B
2131FCF6-457C-86E8-E063-4804A8C0372B,920000,2024-03-28,W13 0HL,T,,F,81,HIGHVIEW ROAD,A
36A61A95-3948-DEF2-E063-4704A8C046AE,550000,2024-04-01,W13 9AA,F,,F,GARDENVIEW HOUSE,NORTHFIELD AVENUE,B
1EAE3DF6-C7D1-9EB1-E063-4704A8C09D02,960000,2024-04-03,W13 9UA,T,,F,19,BALMORAL GARDENS,A
1EAE3DF7-69AC-9EB1-E063-4704A8C09D02,22000,2024-04-04,W13 9ED,O,,F,39,ADELAIDE ROAD,B
1775CCF7-D452-38BA-E063-4704A8C05A7C,835000,2024-04-04,W13 9RR,O,,F,44B,NORTHFIELD AVENUE,B
1EAE3DF6-C35E-9EB1-E063-4704A8C09D02,750000,2024-04-05,W13 8DE,T,,F,24,BELLEVUE ROAD,A
2131FCF6-4178-86E8-E063-4804A8C0372B,1089500,2024-04-08,W13 9DL,S,,F,33,ST JAMES AVENUE,A
2131FCF6-4264-86E8-E063-4804A8C0372B,743000,2024-04-08,W13 9UW,S,,F,39,MERVYN ROAD,A
1A0C5C63-7D7B-7CBE-E063-4804A8C06C96,675000,2024-04-08,W13 9DE,T,,F,102,ST KILDA ROAD,A
2D4D7608-90C0-BDF9-E063-4804A8C0672F,585000,2024-04-08,W13 9DE,F,,F,68,ST KILDA ROAD,A
2F7F2B42-A1AF-E08F-E063-4804A8C05A49,350000,2024-04-09,W13 9HT,F,,F,44A,SEAFORD ROAD,A
1775CCF7-63AC-38BA-E063-4704A8C05A7C,948000,2024-04-10,W13 9JZ,T,,F,9,GLENFIELD ROAD,A
1A0C5C63-7DC7-7CBE-E063-4804A8C06C96,1250000,2024-04-10,W13 8BZ,S,,F,32,WIMBORNE GARDENS,A
25E9DA81-1F63-555E-E063-4704A8C066F2,1550000,2024-04-12,W13 9JS,S,,F,34,LOVEDAY ROAD,A
1C3E72FD-C420-F410-E063-4804A8C0DFA6,405000,2024-04-12,W13 8RB,F,,F,"LOVELACE HOUSE, 96 - 122",UXBRIDGE ROAD,A
2131FCF6-4627-86E8-E063-4804A8C0372B,970000,2024-04-12,W13 9EZ,S,,F,21,SYDNEY ROAD,A
1A0C5C63-022A-7CBE-E063-4804A8C06C96,290000,2024-04-12,W13 8QN,F,,F,BROUGHTON COURT,BROUGHTON ROAD,A
1775CCF6-DA1B-38BA-E063-4704A8C05A7C,100000,2024-04-12,W13 0FW,F,,F,FREEDOM HOUSE,BROWNLOW ROAD,A
1A0C5C63-0241-7CBE-E063-4804A8C06C96,455000,2024-04-12,W13 9NF,S,,F,21C,CHURCHFIELD ROAD,A
2131FCF6-44F5-86E8-E063-4804A8C0372B,900000,2024-04-15,W13 8JE,T,,F,19,HERONSFORDE,A
31C68071-B0F1-FEE3-E063-4804A8C04F37,245000,2024-04-16,W13 9DL,F,,F,35B,ST JAMES AVENUE,A
1C3E72FF-0F5A-F410-E063-4804A8C0DFA6,725000,2024-04-17,W13 9NB,D,,F,CEDAR HOUSE,CULMINGTON ROAD,B
2131FCF6-4203-86E8-E063-4804A8C0372B,682000,2024-04-19,W13 9YB,T,,F,87,BURNHAM WAY,A
1775CCF7-672E-38BA-E063-4704A8C05A7C,975000,2024-04-19,W13 9DS,S,,F,80,LEIGHTON ROAD,A
237B17FE-3A02-22AC-E063-4804A8C0EA3A,1100000,2024-04-19,W13 8BY,S,,F,25,WIMBORNE GARDENS,A
2D4D7609-E4AC-BDF9-E063-4804A8C0672F,2840000,2024-04-19,W13 8AL,O,,F,44 - 46,CLEVELAND ROAD,B
